id,pop,lat,lon,sex,coat
5204,1,-39.124792,177.121708,F,Gr
5206,1,-39.124132,177.119492,F,Gr
5212,1,-39.080743,177.095953,M,Gr
5215,1,-39.08255,177.093317,F,Gr
5634,1,-39.081653,177.092431,F,Gr
6233,1,-39.070595,177.122229,F,Gr
6235,1,-39.071173,177.121465,F,Gr
6250,1,-39.081112,177.098242,F,Gr
6519,1,-39.117486,177.155528,M,Gr
6523,1,-39.118736,177.152628,F,Gr
6524,1,-39.116029,177.157652,F,Br
6528,1,-39.11473,177.157911,M,Br
7567,1,-39.072407,177.107911,M,Gr
7571,1,-39.071429,177.112804,M,Gr
7583,1,-39.112192,177.162516,M,Bl
7584,1,-39.110236,177.16049,F,Gr
7586,1,-39.113106,177.164655,M,Gr
7589,1,-39.108529,177.157332,M,Br
7591,1,-39.109622,177.159041,M,Br
7708,1,-39.080353,177.08996,M,Bl
7749,1,-39.126391,177.122115,F,Gr
7754,1,-39.080008,177.097356,M,Gr
7761,1,-39.072912,177.111457,M,Br
7763,1,-39.08117,177.089036,F,Bl
7772,1,-39.068907,177.115247,F,Bl
5406,2,-38.967669,177.030873,F,Bl
5411,2,-38.963648,177.044409,F,Gr
5414,2,-38.963981,177.046207,M,Gr
5415,2,-38.97019,177.054006,F,Bl
5418,2,-38.963563,177.040951,M,Br
5428,2,-39.006235,177.075319,F,Bl
5451,2,-39.023602,177.090033,M,Bl
5469,2,-39.004914,177.093931,M,Bl
5471,2,-39.004183,177.089889,M,Bl
5492,2,-39.004229,177.092388,F,Bl
5869,2,-38.964485,177.051365,F,Bl
5871,2,-38.959047,177.013698,F,Gr
6370,2,-39.004226,177.093,F,Bl
6371,2,-38.96581,177.05493,F,Br
6376,2,-38.96304,177.01581,M,Bl
6383,2,-39.002434,177.082794,F,Gr
6389,2,-39.025095,177.088374,M,Gr
6396,2,-39.029312,177.08291,F,Gr
6516,2,-39.088945,177.23794,F,Bl
6538,2,-39.08408,177.247352,F,Bl
6544,2,-39.043747,177.164274,F,Gr
6546,2,-39.04441,177.164625,M,Bl
6551,2,-39.045491,177.165407,F,Bl
6554,2,-39.046567,177.169068,M,Gr
6557,2,-39.046774,177.170572,F,Gr
6559,2,-39.047507,177.172709,F,Bl
6563,2,-39.048621,177.175065,M,Bl
6564,2,-39.04839,177.175468,F,Bl
6585,2,-39.045284,177.165649,M,Gr
6596,2,-39.043062,177.164753,M,Bl
6602,2,-39.057288,177.272614,M,Bl
6605,2,-39.062516,177.286977,F,Bl
6606,2,-39.054357,177.290524,M,Bl
6644,2,-39.107321,177.21056,M,Bl
6649,2,-39.104889,177.210714,F,Gr
6656,2,-39.101116,177.217442,F,Gr
6666,2,-39.101245,177.217137,F,Bl
6675,2,-39.108626,177.208405,M,Bl
6677,2,-39.108404,177.212975,M,Bl
6686,2,-39.109742,177.210695,M,Gr
6687,2,-39.110453,177.210957,M,Gr
6693,2,-39.104228,177.210547,F,Bl
6695,2,-39.103815,177.210742,F,Bl
7176,2,-39.065851,177.279766,F,Bl
7186,2,-39.051933,177.284685,M,Bl
7197,2,-39.050723,177.290752,F,Gr
7579,2,-39.087591,177.227223,M,Gr
7664,2,-39.047054,177.288294,M,Br
7666,2,-39.051389,177.278949,F,Bl
7673,2,-39.054787,177.298566,M,Br
7702,2,-39.085081,177.248316,F,Bl
7719,2,-39.087851,177.237549,M,Bl
7722,2,-39.086103,177.252624,M,Gr
7724,2,-39.083883,177.24756,F,Bl
7732,2,-39.085247,177.247238,M,Bl
7735,2,-39.082563,177.24277,M,Br
7740,2,-39.087706,177.233143,M,Bl
7790,2,-38.9643,177.021022,M,Bl
7798,2,-39.006308,177.07656,M,Bl
6607,2,-39.049487,177.291728,F,Gr
15,3,-38.800076,177.518157,F,Bl
5290,3,-38.88345,177.442393,F,DBr
5432,3,-38.915244,177.010721,F,Bl
5437,3,-38.910781,177.008895,F,Bl
5444,3,-38.91287,177.007457,M,Br
5449,3,-38.913483,177.008738,M,Br
5462,3,-38.934462,177.047604,M,Bl
5478,3,-38.910033,177.007352,M,Bl
5479,3,-38.913312,177.007967,M,Bl
5483,3,-38.916253,177.012568,F,Bl
5484,3,-38.91287,177.007457,F,Br
5487,3,-38.909899,177.009883,F,Gr
5494,3,-38.932632,177.038908,M,Gr
5496,3,-38.927545,177.076123,F,Gr
5565,3,-38.884272,177.444926,F,Bl
5569,3,-38.891772,177.443855,M,Bl
5570,3,-38.891247,177.443672,M,Re
5576,3,-38.889297,177.444668,F,Bl
5579,3,-38.888018,177.442994,M,Br
5581,3,-38.884114,177.448078,M,Br
5588,3,-38.887504,177.439257,M,Re
5590,3,-38.887989,177.438365,F,Bl
5597,3,-38.887436,177.448704,F,Bl
5633,3,-38.715293,177.286211,F,Bl
5643,3,-38.719804,177.279418,M,Bl
5650,3,-38.72793,177.276539,M,Bl
5656,3,-38.71763,177.278479,F,Bl
5658,3,-38.721912,177.279488,F,Bl
5666,3,-38.71763,177.278479,F,Bl
5808,3,-38.92615,177.075015,F,Bl
5813,3,-38.932433,177.040963,F,Bl
5828,3,-38.936306,177.048242,F,Bl
5838,3,-38.925436,177.076843,M,Bl
5849,3,-38.928226,177.074454,M,Bl
5898,3,-38.909687,177.009767,M,Bl
6081,3,-38.869929,177.292736,F,Br
6083,3,-38.872435,177.291793,F,Bl
6090,3,-38.874062,177.289782,F,Bl
6093,3,-38.867315,177.29246,M,Bl
6094,3,-38.87253,177.284692,M,Bl
6244,3,-38.965619,177.335353,F,Bl
6402,3,-38.71557,177.286999,M,Br
6418,3,-38.715475,177.286901,M,Bl
